"Key","Where it appears","English","Hausa (current)","Hausa — correct? (Y/N)","Hausa — correction","Yorùbá (current)","Yorùbá — correct? (Y/N)","Yorùbá — correction","Igbo (current)","Igbo — correct? (Y/N)","Igbo — correction","Reviewer notes"
"EXAMPLE","How to fill in (delete this row)","(the English)","(current Hausa)","Y","","(current Yorùbá)","N","(your corrected Yorùbá, with tone marks)","(current Igbo)","Y","","Words in {curly brackets} are filled in by the app — keep them exactly as they are."
"round.title","Daily round (top of screen)","Daily round","Zagayen yau","","","Ìrìnàjò ojoojúmọ́","","","Njem ụbọchị","","",""
"round.subtitle","Daily round (top of screen)","What happened today","Abin da ya faru yau","","","Ohun tí ó ṣẹlẹ̀ lónìí","","","Ihe mere taa","","",""
"round.date","Daily round (top of screen)","Date","Kwanan wata","","","Ọjọ́","","","Ụbọchị","","",""
"round.progress","Daily round (top of screen)","Progress","Ci gaba","","","Ìtẹ̀síwájú","","","Ọganihu","","",""
"round.stop","Daily round (top of screen)","Stop {n} of {total}","Tsayi {n} daga {total}","","","Ibùdó {n} nínú {total}","","","Nkwụsị {n} nʼime {total}","","",""
"round.recorded","Daily round (top of screen)","{done} of {total} recorded","An rubuta {done} daga {total}","","","A ti kọ {done} nínú {total}","","","Edeela {done} nʼime {total}","","",""
"round.back","Daily round (top of screen)","Back","Baya","","","Padà","","","Laghachi","","",""
"round.next","Daily round (top of screen)","Next","Na gaba","","","Tókàn","","","Osote","","",""
"round.skip","Daily round (top of screen)","Skip","Tsallake","","","Fò ó","","","Wụfee","","",""
"round.review","Daily round (top of screen)","Review round","Duba zagayen","","","Ṣàyẹ̀wò ìrìnàjò","","","Nyochaa njem","","",""
"round.nothingYet","Daily round (top of screen)","Nothing recorded yet. Enter at least one figure at any stop.","Ba a rubuta komai ba tukuna. Sa aƙalla lamba ɗaya.","","","A kò tí ì kọ nǹkan kan. Kọ ó kéré tán nọ́mbà kan.","","","Edebeghị ihe ọ bụla. Tinye opekempe otu ọnụọgụ.","","",""
"round.sameAsYesterday","Daily round (top of screen)","Same as yesterday","Kamar jiya","","","Bí ti àná","","","Otu ka ụnyaahụ","","",""
"round.carriedOver","Daily round (top of screen)","Carried over from yesterday. Check each figure before moving on.","An kwafo daga jiya. Duba kowace lamba kafin ka ci gaba.","","","A ṣẹ̀dà rẹ̀ láti àná. Ṣàyẹ̀wò nọ́mbà kọ̀ọ̀kan kí o tó tẹ̀síwájú.","","","E si nʼụnyaahụ bute ya. Lelee ọnụọgụ ọ bụla tupu ị gaa nʼihu.","","",""
"round.restored","Daily round (top of screen)","Your unfinished round was restored.","An dawo da zagayen da ba a gama ba.","","","A ti dá ìrìnàjò tí kò parí padà.","","","E weghachiri njem ị na-emechabeghị.","","",""
"feed.title","Daily round — feeding","Feed","Abinci","","","Oúnjẹ","","","Nri","","",""
"feed.type","Daily round — feeding","Feed type","Nau’in abinci","","","Irú oúnjẹ","","","Ụdị nri","","",""
"feed.quantity","Daily round — feeding","Quantity","Yawa","","","Iye","","","Ọnụọgụ","","",""
"feed.reducesStock","Daily round — feeding","Reduces feed stock","Zai rage abincin da ke ajiye","","","Yóò dín oúnjẹ tí ó wà ní ilé ìtajà kù","","","Ọ ga-ebelata nri dị nʼụlọ nkwakọba","","",""
"production.title","Daily round — production","What was collected","Abin da aka tara","","","Ohun tí a kójọ","","","Ihe achịkọtara","","",""
"mortality.title","Daily round — deaths","Deaths","Mutuwa","","","Ikú","","","Ọnwụ","","",""
"mortality.lost","Daily round — deaths","Lost today","Adadin da suka mutu yau","","","Iye tí ó kú lónìí","","","Ole nwụrụ taa","","",""
"mortality.reducesPopulation","Daily round — deaths","Reduces the number here","Zai rage adadin da ke nan","","","Yóò dín iye tí ó wà níbí kù","","","Ọ ga-ebelata ọnụọgụ dị ebe a","","",""
"mortality.cause","Daily round — deaths","What caused it","Me ya jawo","","","Ohun tí ó fà á","","","Ihe kpatara ya","","",""
"mortality.photo","Daily round — deaths","Photograph","Hoto","","","Àwòrán","","","Foto","","",""
"notes.title","Daily round — notes","Notes","Bayani","","","Àkíyèsí","","","Ndetu","","",""
"notes.optional","Daily round — notes","Optional","Ba dole ba","","","Kì í ṣe dandan","","","Ọ bụghị mmanye","","",""
"notes.placeholder","Daily round — notes","Anything unusual — weather, behaviour, equipment","Duk abin da ba a saba gani ba — yanayi, hali, na’ura","","","Ohunkóhun tí kò wọ́pọ̀ — ojú ọjọ́, ìwà, ẹ̀rọ","","","Ihe ọ bụla na-adịghị adị — ihu igwe, àgwà, akụrụngwa","","",""
"problem.pickCause","Daily round — warning message","Pick a cause. Deaths without one cannot be looked into later.","Zaɓi dalili. Mutuwa ba tare da dalili ba ba za a iya bincika ta ba.","","","Yan ohun tí ó fà á. Ikú láìsí ìdí kò ṣeé ṣàyẹ̀wò lẹ́yìn náà.","","","Họrọ ihe kpatara ya. Ọnwụ na-enweghị ihe kpatara ya agaghị enwe nyocha.","","",""
"problem.tooMany","Daily round — warning message","That is more than there are here.","Wannan ya fi adadin da ke nan.","","","Èyí pọ̀ ju iye tí ó wà níbí lọ.","","","Nke a karịrị ọnụọgụ dị ebe a.","","",""
"problem.photoRequired","Daily round — warning message","A photograph is required for deaths on this farm.","Ana buƙatar hoto don mutuwa a wannan gonar.","","","Àwòrán jẹ́ dandan fún ikú ní oko yìí.","","","Achọrọ foto maka ọnwụ nʼugbo a.","","",""
"problem.explain","Daily round — warning message","That is well away from yesterday. Add a note saying why.","Wannan ya bambanta sosai da jiya. Rubuta dalili.","","","Èyí yàtọ̀ gan-an sí ti àná. Kọ ìdí rẹ̀.","","","Nke a dị iche nke ukwuu na ụnyaahụ. Dee ihe kpatara ya.","","",""
"nav.home","Bottom navigation bar","Home","Gida","","","Ilé","","","Ụlọ","","",""
"nav.record","Bottom navigation bar","Record","Rubuta","","","Kọ","","","Dee","","",""
"nav.store","Bottom navigation bar","Store","Ajiya","","","Ilé ìtajà","","","Ụlọ nkwakọba","","",""
"nav.more","Bottom navigation bar","More","Ƙari","","","Sí i","","","Ọzọ","","",""
"outbox.offline","No-signal message","No connection. Your work is saved on this phone.","Babu haɗi. An ajiye aikinka a wannan wayar.","","","Kò sí ìsopọ̀. A ti fi iṣẹ́ rẹ pamọ́ sí fóònù yìí.","","","Enweghị njikọ. Echekwara ọrụ gị na ekwentị a.","","",""
"outbox.waiting","No-signal message","{n} waiting to send","{n} suna jira a aika","","","{n} ń dúró láti ránṣẹ́","","","{n} na-echere izipu","","",""
"outbox.saved","No-signal message","Sent","An aika","","","A ti ránṣẹ́","","","Ezigala","","",""
