"Old account","Old name","Proposed 6-digit account","6-digit name","Confidence","Why / decision needed"
"1101","Bank","110100","Cash and Bank","Clear","Same thing."
"1201","Trade Receivables","120100","Trade Receivables","Clear","Same thing."
"1301","Raw Material Inventory","130100 (feed items: 130110)","Raw Materials and Consumables / Feed Inventory","Likely","Feed items move to Feed Inventory (130110), everything else to 130100 — by each item's category."
"1302","Packaging & Consumables Inventory","130100","Raw Materials and Consumables","Likely","The spec has no separate packaging account."
"1305","By-product Inventory","130510 / 130520","Finished Goods — Snail / Poultry","Decision","Split by species of the by-product."
"1401","Finished Goods Inventory","130510 / 130520","Finished Goods — Snail / Poultry","Decision","Split by species of each item."
"1501","Work in Progress (rearing cost)","130210 / 130200 — or 130400","BA — Poultry / Snails — or Production WIP Control","DECISION","The spec capitalises flock costs into the biological asset (PCR-062 '130210 per policy') but expenses snail feed (PCR-042 → 611000). The app capitalises both into 1501 today."
"1601","Input VAT Recoverable","125100","Input VAT Recoverable","Clear","Same thing."
"1602","WHT Receivable","(none in spec)","","DECISION","No 6-digit equivalent. Add one (e.g. 125200) or keep 1602."
"1701","Property, Plant & Equipment","140100","Property Plant and Equipment","Clear","Same thing."
"1702","Accumulated Depreciation","149100","Accumulated Depreciation","Clear","Same thing."
"2101","Salary Payable","220100","Payroll Payable","Clear","Same thing."
"2102","Pension Payable","222100","Pension Payable","Clear","Same thing."
"2103","NHF Payable","223100","Other Payroll Deductions Payable","Likely","NHF is an employee deduction."
"2104","NSITF Payable","224100","Employer Levies Payable","Likely","NSITF is an employer levy."
"2105","ITF Payable","224100","Employer Levies Payable","Likely","ITF is an employer levy."
"2110","PAYE Payable","221100","PAYE Payable","Clear","Same thing."
"2120","Output VAT Payable","226100","Output VAT Payable","Clear","Same thing."
"2130","WHT Payable","225100","WHT Payable","Clear","Same thing."
"2140","Goods Received Not Invoiced","210200","GRNI","Clear","Same thing."
"2201","Trade Payables","210100","Trade Payables","Clear","Same thing."
"3200","Retained Earnings","320100","Retained Earnings","Clear","Same thing."
"4101","Revenue","410100 / 410300 (and 410200 / 410400 for processed)","Revenue by species and product","DECISION","The spec splits revenue by species and live vs processed. Needs each sellable item mapped to one."
"5001","Cost of Sales","510100 – 510400","COGS by species and product","DECISION","Same split as revenue."
"5101","Salaries and Wages","620100","Payroll Expense / allocated cost pool","Likely","The spec's payroll expense pool."
"5102","Employer Pension Expense","620200","Employer Pension Expense / ABC Pool","Clear","Same thing."
"5103","NSITF Expense","620300","Employer Statutory Levy Expense","Likely","Statutory levy."
"5104","ITF Expense","620300","Employer Statutory Levy Expense","Likely","Statutory levy."
"5205","Payroll/Overhead Clearing","(none in spec)","","DECISION","Used by processing absorption; confirm whether it maps to a recovery account (219810/219820/219830) or stays."
"5305","Production Loss Expense","640300 / 640500 (abnormal) — or 640200","Abnormal Biological Loss — Snails / Poultry","DECISION","The spec separates normal loss (inside the asset's fair value) from abnormal loss by species."
"5401","Operating Expenses","(none in spec)","","DECISION","General overheads have no 6-digit home. Add one (e.g. 690100) or keep 5401."
"5501","Depreciation Expense","630100","Depreciation Expense","Clear","Same thing."
